center_x,center_y,radius,gene,count
1720.5719696969695,278.02761797979804,60,RPST,0
1720.5719696969695,278.02761797979804,60,TMEM107,16
1720.5719696969695,278.02761797979804,60,MX1,14
1720.5719696969695,278.02761797979804,60,TNFAIP3,0
1720.5719696969695,278.02761797979804,60,COX1,10
1720.5719696969695,278.02761797979804,60,STAT1,3
1720.5719696969695,278.02761797979804,60,DDIT3,0
1720.5719696969695,278.02761797979804,60,PIK3R1,8
1720.5719696969695,278.02761797979804,60,DUSP1,2
1720.5719696969695,278.02761797979804,60,PYCARD,0
1720.5719696969695,278.02761797979804,60,CD1D,0
1720.5719696969695,278.02761797979804,60,IFNA,3
1720.5719696969695,278.02761797979804,60,IFNB,57
1720.5719696969695,278.02761797979804,60,IFNG,7
1720.5719696969695,278.02761797979804,60,CSF3,11
1720.5719696969695,278.02761797979804,60,TNFSF13B,1
1720.5719696969695,278.02761797979804,60,CCL2,0
1720.5719696969695,278.02761797979804,60,IL8,1
1720.5719696969695,278.02761797979804,60,IL10,0
1720.5719696969695,278.02761797979804,60,TNFSF10,0
1720.5719696969695,278.02761797979804,60,CXCL10,12
1720.5719696969695,278.02761797979804,60,PDL1,1
1720.5719696969695,278.02761797979804,60,CD279,0
1720.5719696969695,278.02761797979804,60,TNFA,0
1720.5719696969695,278.02761797979804,60,IL17A,0
1720.5719696969695,278.02761797979804,60,TGFB,4
1720.5719696969695,278.02761797979804,60,IL1B2,0
1720.5719696969695,278.02761797979804,60,B646L,64
1720.5719696969695,278.02761797979804,60,MGF_360-9L,3
1720.5719696969695,278.02761797979804,60,MGF_360-2L,1
1720.5719696969695,278.02761797979804,60,MGF_505-7R,0
1720.5719696969695,278.02761797979804,60,MGF_110-9L,15
1720.5719696969695,278.02761797979804,60,EP402R,1
1720.5719696969695,278.02761797979804,60,S273R,1
1720.5719696969695,278.02761797979804,60,B646L,64
1720.5719696969695,278.02761797979804,120,RPST,3
1720.5719696969695,278.02761797979804,120,TMEM107,29
1720.5719696969695,278.02761797979804,120,MX1,30
1720.5719696969695,278.02761797979804,120,TNFAIP3,2
1720.5719696969695,278.02761797979804,120,COX1,12
1720.5719696969695,278.02761797979804,120,STAT1,7
1720.5719696969695,278.02761797979804,120,DDIT3,0
1720.5719696969695,278.02761797979804,120,PIK3R1,10
1720.5719696969695,278.02761797979804,120,DUSP1,0
1720.5719696969695,278.02761797979804,120,PYCARD,1
1720.5719696969695,278.02761797979804,120,CD1D,1
1720.5719696969695,278.02761797979804,120,IFNA,3
1720.5719696969695,278.02761797979804,120,IFNB,15
1720.5719696969695,278.02761797979804,120,IFNG,4
1720.5719696969695,278.02761797979804,120,CSF3,14
1720.5719696969695,278.02761797979804,120,TNFSF13B,1
1720.5719696969695,278.02761797979804,120,CCL2,0
1720.5719696969695,278.02761797979804,120,IL8,6
1720.5719696969695,278.02761797979804,120,IL10,0
1720.5719696969695,278.02761797979804,120,TNFSF10,0
1720.5719696969695,278.02761797979804,120,CXCL10,28
1720.5719696969695,278.02761797979804,120,PDL1,1
1720.5719696969695,278.02761797979804,120,CD279,0
1720.5719696969695,278.02761797979804,120,TNFA,0
1720.5719696969695,278.02761797979804,120,IL17A,0
1720.5719696969695,278.02761797979804,120,TGFB,17
1720.5719696969695,278.02761797979804,120,IL1B2,0
1720.5719696969695,278.02761797979804,120,B646L,3
